Gender,Norwegian ,Class,Grammatical Form ,English ,
,Polen,,noun,,Poland
å,polere,,verb,"polerer, polerte, har polert",polish
en,politibetjent,,noun,"politibetjenten, politibetjenter, politibetjentene",police officer
en,politiker,,noun,"politikeren, politikere, politikerne",politician
en,politikk,,noun,politikken,politics
,politisk,,adj.,"politisk, politiske",political
,polsk,,adj.,"polsk, polske",Polish
en,polsk,,noun,polsken,Polish language
en,pommes frites,,noun,pommes fritesen,French fries
,populær,,adj.,"populært, populære",popular
,positiv,,adj./adv.,"positivt, positive",positive
en,post,,noun,"posten, poster, postene",mail
et,postbud,,noun,"postbudet, postbud, postbudene",postman
et,postkontor,,noun,"postkontoret, postkontorer, postkontorene",post office
ei/en,postkortsamling,,noun,"-samlinga/-samlingen, -samlinger, -samlingene",post card collection
et,postnummer,,noun,"postnummeret, postnumre, postnumrene",zip code
en,potet,,noun,"poteten, poteter, potetene",potato
en,potetgrateng,,noun,"potetgratengen, potetgratenger, potetgratengene",potato soufflé
et,potetgull,,noun,"potetgullet, potetgull, potetgullene",potato chip
en,potetmos,,noun,potetmosen,mashed potatoes
ei/en,potetstappe,,noun,"potetstappa/potetstappen, potetstapper, potetstappene",mashed potatoes
,praktisk,,adj.,"praktisk, praktiske",practical
en,prat,,noun,"praten, prater, pratene","chat, talk"
å,prate,,verb,"prater, pratet, har pratet","chat, talk"
,pratsom,,adj.,"pratsomt, pratsomme","talkative, chatty"
en,preposisjon,,noun,"preposisjonen, preposisjoner, preposisjonene",preposition
en,presang,,noun,"presangen, presanger, presangene","present, gift"
,presens,,noun,,present tense
å,presentere,,verb,"presenterer, presenterte, har presentert",present
en,prest,,noun,"presten, prester, prestene","pastor, minister"
en,prestisje,,noun,"prestisjen, prestisjer, prestisjene",prestige
et,preteritum,,noun,"preteritumet, preteritumer, preteritumene","past tense, preterite"
,primitiv,,adj./adv.,"primitivt, primitive",primitive; primitively
ei/en,primærnæring,,noun,"-næringa/-næringen, -næringer, -næringene",primary industry
en,pris,,noun,"prisen, priser, prisene",price
,privat,,adj.,"privat, private",private
et,problem,,noun,"problemet, problemer, problemene",problem
å,produsere,,verb,"produserer, produserte, har produsert",produce
et,profesjonsstudium,,noun,"-studiet, -studier, -studiene",professional studies
en,professor,,noun,"professoren, professorer, professorene",professor
et,program,,noun,"programmet, programmer, programmene",program
en,programmerer,,noun,"programmeren, programmerere, programmererne",computer programmer
et,pronomen,,noun,"pronomenet, pronomen/pronomener, pronomenene",pronoun
en,provins,,noun,"provinsen, provinser, provinsene",province
en,prøve,,noun,"prøven, prøver, prøvene",test
å,prøve,,verb,"prøver, prøvde, har prøvd",try
et,prøverom,,noun,"prøverommet, prøverom, prøverommene",fitting room
en,psykiater,,noun,"psykiateren, psykiatere, psykiaterne",psychiatrist
,psykisk,,adj.,"psykisk, psykiske",mental
en,psykolog,,noun,"psykolog, psykologer, psykologene",psychologist
en,psykologi,,noun,psykologien,psychology
en,pub,,noun,"puben, puber, pubene",pub
en,pudding,,noun,"puddingen, puddinger, puddingene",pudding
,• pudding med vaniljesaus,,,,• pudding with vanilla sauce
å,pugge,,verb,"pugger, pugget, har pugget","cram, memorize"
,• pugge gloser,,,,• memorize words
en,pult,,noun,"pulten, pulter, pultene",student desk
et,punkt,,noun,"punktet, punkter, punktene",point
å,pusse,,verb,"pusser, pusset, har pusset",polish; brush
,• pusse opp,,,,"• renovate, fix up"
,• pusse tennene,,,,• brush teeth
ei/en,pute,,noun,"puta/puten, puter, putene",pillow
å,pynte,,verb,"pynter, pyntet, har pyntet",decorate
en,pyntegjenstand,,noun,"pyntegjenstanden, pyntegjenstander, pyntegjenstandene",decoration
ei/en,pære,,noun,"pæra/pæren, pærer, pærene",pear
ei/en,pølse,,noun,"pølsa/pølsen, pølser, pølsene",hot dog
,• pølse med brød,,,,• hot dog with a bun
,• pølse med lompe,,,,• hot dog with a potato tortilla
,på,,prep.,,"on, at, to"
,• på bordet,,,,• on the table
,• på en måte,,,,• in a way
,• på grunn av,,,,• because of
,• på lørdag,,,,• on Saturday
,• på veggen,,,,• on the wall
et,pålegg,,noun,"pålegget, pålegg, påleggene","sandwich topping, including spread, meat, or cheese"
,pålitelig,,adj.,"pålitelig, pålitelige",dependable
ei/en,påske,,noun,"påska/påsken, påsker, påskene",Easter
,• God påske!,,,,• Happy Easter!
en,påskeaften,,noun,"påskeaftenen, påskeaftener, påskeaftenene",Easter Eve
et,påskeegg,,noun,"påskeegget, påskeegg, påskeeggene",Easter egg
en,påskeferie,,noun,"påskeferien, påskeferier, påskeferiene",Easter vacation
ei/en,påskelilje,,noun,"påskelilja/påskeliljen, påskeliljer, påskeliljene",daffodil
et,påstedsadverb,,noun,"-adverbet, -adverb/-adverber, -adverbene",adverb of location
å,påvirke,,verb,"påvirker, påvirket, har påvirket",influence
,,,,,
,,,,,
,,,,,
rabatt,,noun,"rabatten, rabatter, rabbattene",discount,
en,radio,,noun,"radioen, radioer, radioene",radio
å,rafte,,verb,"rafter, raftet, har raftet",raft
ei/en,rafting,,noun,raftinga/raftingen,whitewater rafting
å,rake,,verb,"raker, rakte, har rakt",rake
,• rake løv,,,,• rake leaves
,rar,,adj./adv.,"rart, rare","strange, weird"
,rask,,adj./adv.,"raskt, raske","quick, fast"
en,redaktør,,noun,"redaktøren, redaktører, redaktørene",editor
,redd,,adj.,"redd, redde",afraid
,refleksiv,,adj./adv.,"refleksivt, refleksive",reflexive; reflexively
,• refleksive pronomen,,,,• reflexive pronoun
,regelmessig,,adj.,"regelmessig, regelmessige",regular
ei/en,regjering,,noun,"regjeringa/regjeringen, regjeringer, regjeringene","government, cabinet"
,relativ,,adj./adv.,"relativt, relative",relative; relatively
et,regn,,noun,"regnet, regn, regnene",rain
en,regnbue,,noun,"regnbuen, regnbuer, regnbuene",rainbow
å,regne,,verb,"regner, regnet, har regnet",rain
ei/en,regning,,noun,"regninga/regningen, regninger, regningene","bill, restaurant check"
ei/en,regnjakke,,noun,"regnjakka/regnjakken, regnjakker, regnjakkene",rain jacket
en,regnskapsfører,,noun,"regnskapsføreren, regnskapsførere, regnskapsførerne",accountant
ei/en,regnskapsføring,,noun,"-føringa/-føringen, -føringer, -føringene","accounting, bookkeeping"
et,regntøy,,noun,"regntøyet, regntøy, regntøyene",rain wear
en,reinsdyrfilet,,noun,"reinsdyrfileten, reinsdyrfileter, reinsdyrfiletene",reindeer steak
å,reise,,verb,"reiser, reiste, har reist",travel
,• reise hjem,,,,• travel home
,• reise med bil,,,,• travel by car
,• reise med buss,,,,• travel by bus
,• reise med båt,,,,• travel by boat
,• reise med fly,,,,• travel by plane
,• reise med tog,,,,• travel by train
,• reise på fjellet,,,,• go to the mountains
å,reise seg,,"verb, refl.","reiser seg, reiste seg, har reist seg",stand up
et,reisebyrå,,noun,"reisebyrået, reisebyrå, reisebyråene",travel agency
et,reiseliv,,noun,"reiselivet, reiseliv, reiselivene",tourism
et,reisemål,,noun,"reisemålet, reisemål, reisemålene",travel destination
en,reisemåte,,noun,"reisemåten, reisemåter, reisemåtene",type of transportation
ei/en,reke,,noun,"reka/reken, reker, rekene",shrimp
en,rekesalat,,noun,"rekesalaten, rekesalater, rekesalatene",shrimp salad
å,rekke,,verb,"rekker, rakk, har rukket","extend, hold out"
,• rekke opp hånda,,,,• raise one’s hand
et,rekkehus,,noun,"rekkehuset, rekkehus, rekkehusene","row house, townhouse"
en,rektor,,noun,"rektoren, rektorer, rektorene","principal, president of a school"
en,religion,,noun,"religionen, religioner, religionene",religion
,ren,,adj./adv.,"rent, rene",clean
å,renne,,verb,"renner, rant, har rent",run (of liquids)
,• nesa renner,,,,• my nose is running
å,renovere,,verb,"renoverer, renoverte, har renovert",renovate
å,reparere,,verb,"reparerer, reparerte, har reparert",repair
en,repetisjon,,noun,"repetisjonen, repetisjoner, repetisjonene","repetision, review"
en,respekt,,noun,respekten,respect
en,rest,,noun,"resten, rester, restene","rest, leftover"
en,restaurant,,noun,"restauranten, restauranter, restaurantene",restaurant
en,restaurantsjef,,noun,"restaurantsjefen, restaurantsjefer, restaurantsjefene",restaurant manager
,rett,,adj./adv.,"rett, rette","straight; correct, right"
,• rett fram,,,,• straight ahead
,• rett hår,,,,• straight hair
en,rett,,noun,"retten, retter, rettene","dish, course"
en,revisor,,noun,"revisoren, revisorer, revisorene",auditor
å,ri,,verb,"rir, red, har ridd",ride horses
ei/en,ribbe,,noun,"ribba/ribben, ribber, ribbene",pork ribs
,• juleribbe,,,,Christmas pork ribs
,rik,,adj.,"rikt, rike",rich
et,rike,,noun,"riket, riker, rikene",kingdom
,riktig,,adj./adv.,"riktig, riktige","correct, right"
,rimelig,,adj./adv.,"rimelig, rimelige",reasonable; reasonably
en,ring,,noun,"ringen, ringer, ringene",ring
å,ringe,,verb,"ringer, ringte, har ringt","call, ring"
en,ringperm,,noun,"ringpermen, ringpermer, ringpermene",three-ring notebook
en,ris,,noun,risen,rice
en,riskrem,,noun,"riskremen, riskremer, riskremene",rice cream
,• riskrem med rødsaus,,,,• rice cream with red sauce
en,risrett,,noun,"risretten, risretter, risrettene",rice dish
,ristet,,adj.,"ristet, ristet",toasted; shaken up
,• ristet brød,,,,• toast
ei/en,ro,,noun,roa/roen,"peace, calm"
,• ta det med ro,,,,• take it easy
,rolig,,adj./adv.,"rolig, rolige","calm, peaceful"
en,rolle,,noun,"rollen, roller, rollene",role
et,rom,,noun,"rommet, rom, rommene",room
en,roman,,noun,"romanen, romaner, romanene",novel
en,romkamerat,,noun,"romkameraten, romkamerater, romkameratene",roommate
ei/en,rorbu,,noun,"rorbua/rorbuen, rorbuer, rorbuene",fisherman's cabin; boathouse
,rosa,,adj.,"rosa, rosa",pink
ei/en,rosemaling,,noun,"rosemalinga/rosemalingen, rosemalinger, rosemalingene",rose painting
en,rosett,,noun,"rosetten, rosetter, rosettene","rosette; traditional deep-fried, rose-shaped cookie"
et,rullefortau,,noun,"rullefortauet, rullefortauer, rullefortauene",moving walkway
ei/en,rulletrapp,,noun,"rulletrappa/rulleftrappen, rulletrapper, rulletrappene",escalator
ei/en,rumpe,,noun,"rumpa/rumpen, rumper, rumpene","butt, backside"
,rund,,adj./adv.,"rundt, runde",round; roundly
ei/en,rundspørring,,noun,"rundspørringa/rundspørringen, rundspørringer, rundspørringene",poll
et,rundstykke,,noun,"rundstykket, rundstykker, rundstykkene",hard roll
en,runebomme,,noun,"runebomma/runebommen, runebommer, runebommene",Sami drum
en,russ,,noun,"russen, russ, russene",high school graduating senior
en,russebuss,,noun,"russebussen, russebusser, russebussene",party bus driven by a graduating high school senior
en,russer,,noun,"russeren, russere, russerne",person from Russia
,russisk,,adj.,"russisk, russiske",Russian
,russisk,,noun,russisken,Russian language
,Russland,,noun,,Russia
ei/en,rute,,noun,"ruta/ruten, ruter, rutene",route
et,rutetabell,,noun,"rutetabellet, rutetabeller, rutetabellene",transportation schedule
en,rutine,,noun,"rutinen, rutiner, rutinene",routine
å,rydde,,verb,"rydder, ryddet, har ryddet",clear
,• rydde av bordet,,,,• clear the table
,• rydde huset,,,,• clean the house
,• rydde opp,,,,• tidy up
,ryddig,,adj.,"ryddig, ryddige",tidy
en,rygg,,noun,"ryggen, rygger, ryggene",back
en,ryggsekk,,noun,"ryggsekken, ryggsekker, ryggsekkene",backpack
,rød,,adj.,"rødt, røde",red
en,rømme,,noun,rømmen,sour cream
en,rømmegrøt,,noun,"rømmegrøten, rømmegrøter, rømmegrøtene",sour cream porridge
en,røntgen,,noun,røntgenen,x-ray
en,rørlegger,,noun,"rørleggeren, rørleggere, rørleggerne",plumber
å,røyke,,verb,"røyker, røykte, har røykt",smoke
,røyke pipe,,phrase,,smoke a pipe
,• røyke sigarer,,,,• smoke cigars
,• røyke sigaretter,,,,• smoke cigarettes
ei/en,røyking,,noun,røykinga/røykingen,smoking
,• røyking forbudt,,,,• no smoking
ei/en,råd,,noun,råda/råden,"means, wealth"
,• ha råd til,,,,• be able to afford
et,råd,,noun,"rådet, råd, rådene",advice
,• et godt råd,,,,• good advice
,,,,,
,,,,,
,,,,,
saft,,noun,"safta/saften, safter, saftene",concentrated juice or drink,
en,saftis,,noun,"saftisen, saftiser, saftisene",popsicle
en,saksbehandler,,noun,"saksbehandleren, saksbehandlere, saksbehandlerne",functionary
en,salami,,noun,"salamien, salamier, salamiene",salami
en,salat,,noun,"salaten, salater, salatene","salad, lettuce"
en,salgssjef,,noun,"salgssjefen, salgssjefer, salgssjefene",sales manager
et,salongbord,,noun,"salongbordet, salongbord, salongbordene",coffee table
en,samboer,,noun,"samboeren, samboere, samboerne",domestic partner
et,samboerskap,,noun,"samboerskapet, samboerskap, samboerskapene",domestic partnership
en,same,,noun,"samen, samer, samene",Sámi person
,Sametinget,,noun,,Sámi parliament
et,samfunn,,noun,"samfunnet, samfunn, samfunnene",society
et,samfunnsfag,,noun,"samfunnsfaget, samfunnsfag, samfunnsfagene",social studies
,samisk,,adj.,"samisk, samiske",Sámi
en,samisk,,noun,samisken,Sámi language
å,samle,,verb,"samler, samlet, har samlet","collect, gather"
ei/en,samling,,noun,"samlinga/samlingen, samlinger, samlingene",collection; social gathering
en,samlivsform,,noun,"samlivsformen, samlivsformer, samlivsformene",type of relationships
,sammen,,adv.,,together
en,sammenheng,,noun,"sammenhengen, sammenhenger, sammenhengene","connection, relationship"
å,sammenligne,,verb,"sammenligner, sammenlignet, har sammenlignet",compare
ei/en,sammenligning,,noun,"sammenligninga/-en, sammenligninger, sammenligningene",comparison
en,samtale,,noun,"samtalen, samtaler, samtalene",conversation
,samtidig,,adv.,,at the same time
en,sandal,,noun,"sandalen, sandaler, sandalene",sandal
en,sandwich,,noun,"sandwichen, sandwicher, sandwichene",sandwich
en,sang,,noun,"sangen, sanger, sangene",song
en,sanger,,noun,"sanger, sangere, sangerne",singer
en,sangstemme,,noun,"stemmen, stemmer, stemmene",singing voice
,sann,,adj.,"sant, sanne",TRUE
,• det er sant,,,,• it's true
en,sardin,,noun,"sardinen, sardiner, sardinene",sardine
,Saudi Arabia,,noun,,Saudi Arabia
å,savne,,verb,"savner, savnet, har savnet",miss
å,score,,verb,"scorer, scoret, har scoret",score
,• score mål,,,,• score a goal
å,se,,verb,"ser, så, har sett",see
,• se glad ut,,,,• look happy
,• se på TV,,,,• watch TV
,• se...ut,,,,"• look, appear"
,seg,,"pron., refl.",,"oneself, himself, herself, themselves"
en,sei,,noun,"seien, seier, seiene",pollack fish
en,seier,,noun,"seieren, seiere, seierne",victory
et,seilbrett,,noun,"seilbrettet, seilbrett, seilbrettene",windsurfing board
en,seilbåt,,noun,"seilbåten, seilbåter, seilbåtene",a sailboat
å,seile,,verb,"seiler, seilte, har seilt",sail
en,seiltur,,noun,"seilturen, seilturer, seilturene",sailing
en,sekretær,,noun,"sekretæren, sekretærer, sekretarene",secretary
,seks,,"det., quan.",,six
,seksten,,"det., quan.",,sixteen
,sekstende,,"adj., ord.",,sixteenth
,seksti,,"det., quan.",,sixty
,sekstiende,,"adj., ord.",,sixtieth
en,sel,,noun,"selen, seler, selene",seal (animal)
en,sele,,noun,"selen, seler, selene",suspender
en,selger,,noun,"selgeren, selgere, selgerne",salesperson
,selv om,,"conj., sub.",,even though
et,selvbilde,,noun,"selvbildet, selvbilder, selvbildene","view of oneself, self concept"
,selvfølgelig,,adv.,,of course
,selvsagt,,adj./adv.,,"natural, obvious; naturally, of course"
,selvstendig,,adj./adv.,"selvstendig, selvstendige",independent; independently
en,selvtillit,,noun,selvtilliten,self-confidence
et,semester,,noun,"semesteret, semestre, semestrene","semester, half-year school term"
,sen,,adj./adv.,"sent, sene",late; lately
å,sende,,verb,"sender, sendte, har sendt",send
,senere,,"adv., comp.","comparative of ""sen""",later
ei/en,seng,,noun,"senga/sengen, senger, sengene",bed
en,sennep,,noun,"sennepen, senneper, sennepene",mustard
et,senter,,noun,"senteret, sentre, sentrene",center
,sentral,,adj./adv.,"sentralt, sentrale",central
et,sentrum,,noun,"sentrumet, sentre, sentrene",downtown
,• Oslo sentrum,,,,• downtown Oslo
,separert,,adj.,"separert, separerte",separated
,september,,noun,,September
,serbisk,,adj.,"serbisk, serbiske",Serbian
en,serbisk,,noun,serbisken,Serbian language
en,seremoni,,noun,"seremonien, sermonier, sermoniene",ceremony
ei/en,servicenæring,,noun,"-næringa/-næringen, -næringer, -næringene",service industry
en,servitør,,noun,"servitøren, servitører, servitørene",waiter
å,ses,,verb,"ses, såes, har ses","meet, see one another"
ei/en,setning,,noun,"setninga/setningen, setninger, setningene",sentence
å,sette,,verb,"setter, satte, har satt","set down, place"
å,sette seg,,"verb, refl.","setter seg, satte seg, har satt seg",sit down
ei/en,severdighet,,noun,"severdigheta/severdigheten, severdigheter, severdighetene",tourist attraction
å,shoppe,,verb,"shopper, shoppet, har shoppet",shop
en,shorts,,noun,"shortsen, shorts/shortser, shortsene",shorts
å,si,,verb,"sier, sa, har sagt",say
,• Hva sa du?,,,,• What did you say?
